Date,Open,High,Low,Close,Volume
9-Aug-17,920.61,925.98,917.25,922.90,1192081
8-Aug-17,927.09,935.81,925.61,926.79,1061579
7-Aug-17,929.06,931.70,926.50,929.36,1032239
4-Aug-17,926.75,930.31,923.03,927.96,1082267
3-Aug-17,930.34,932.24,922.24,923.65,1202512
2-Aug-17,928.61,932.60,916.68,930.39,1824448
1-Aug-17,932.38,937.45,929.26,930.83,1277734
31-Jul-17,941.89,943.59,926.04,930.50,1970095
28-Jul-17,929.40,943.83,927.50,941.53,1846351
27-Jul-17,951.78,951.78,920.00,934.09,3212996
26-Jul-17,954.68,955.00,942.28,947.80,2088256
25-Jul-17,953.81,959.70,945.40,950.70,4660979
24-Jul-17,972.22,986.20,970.77,980.34,3248347
21-Jul-17,962.25,973.23,960.15,972.92,1711000
20-Jul-17,975.00,975.90,961.51,968.15,1624463
19-Jul-17,967.84,973.04,964.03,970.89,1224540
18-Jul-17,953.00,968.04,950.60,965.40,1153964
17-Jul-17,957.00,960.74,949.24,953.42,1165537
14-Jul-17,952.00,956.91,948.00,955.99,1053774
13-Jul-17,946.29,954.45,943.01,947.16,1294687
12-Jul-17,938.68,946.30,934.47,943.83,1532144
11-Jul-17,929.54,931.43,922.00,930.09,1113235
