Date,Open,High,Low,Close,Volume
8-Aug-17,93.95,95.22,93.60,93.68,13745401
7-Aug-17,93.89,94.19,93.71,94.02,7978339
4-Aug-17,93.50,94.40,93.47,93.66,14323999
3-Aug-17,92.70,93.13,92.24,92.50,11078804
2-Aug-17,92.86,93.21,92.50,93.11,10165604
1-Aug-17,92.49,93.14,92.28,93.03,12523725
31-Jul-17,-,92.36,-,91.80,11520329
28-Jul-17,91.45,91.75,90.90,91.28,9351915
27-Jul-17,91.83,92.06,91.16,91.55,12332375
26-Jul-17,93.10,93.19,91.68,91.93,11815499
25-Jul-17,92.37,93.52,92.27,92.80,16447678
24-Jul-17,90.96,91.54,90.91,91.28,10725116
21-Jul-17,91.06,91.36,90.52,90.89,10971292
20-Jul-17,91.15,91.72,90.90,91.20,11561740
19-Jul-17,91.34,91.62,91.00,91.20,11651245
18-Jul-17,90.45,91.58,90.32,91.07,14719404
17-Jul-17,91.82,91.99,91.25,91.39,14374219
14-Jul-17,90.81,92.60,90.58,92.25,22235168
13-Jul-17,92.69,93.38,92.34,93.10,12820084
12-Jul-17,92.61,92.83,92.07,92.51,13540107
11-Jul-17,93.33,93.33,92.28,92.83,13262282
