Date,Open,High,Low,Close,Volume
8-Aug-17,6.08,6.21,6.08,6.14,1195835
7-Aug-17,6.23,6.24,6.09,6.11,1728525
4-Aug-17,6.29,6.30,6.20,6.22,1336152
3-Aug-17,6.32,6.32,6.28,6.30,641660
2-Aug-17,6.37,6.38,6.27,6.34,1172369
1-Aug-17,6.19,6.40,6.19,6.37,1746235
31-Jul-17,-,-,-,6.15,1138895
28-Jul-17,6.10,6.17,6.04,6.10,1388986
27-Jul-17,6.20,6.22,6.05,6.12,1435320
26-Jul-17,6.16,6.20,6.14,6.16,1670575
25-Jul-17,6.02,6.13,6.00,6.12,1414435
24-Jul-17,6.04,6.08,5.99,6.01,1942111
21-Jul-17,5.76,6.14,5.74,6.05,3697328
20-Jul-17,5.48,5.79,5.48,5.75,1960355
19-Jul-17,5.46,5.47,5.36,5.44,905863
18-Jul-17,5.46,5.50,5.44,5.47,863163
17-Jul-17,5.43,5.52,5.42,5.47,1066330
14-Jul-17,5.35,5.44,5.34,5.43,1177773
13-Jul-17,5.30,5.35,5.23,5.35,1111840
12-Jul-17,5.27,5.35,5.26,5.34,884675
11-Jul-17,5.29,5.29,5.15,5.25,1164709
